ID;Nom;;;
Abyssin;Abyssin;;;
American Curl;American Curl;;;
American Shorthair;American Shorthair;;;
American Wirehair;American Wirehair;;;
Anatoli;Anatoli;;;
Asian;Asian;;;
Australian Mist;Australian Mist;;;
Angora;Angora;;;
Balinais;Balinais;;;
Bengal;Bengal;;;
Bleu Russe;Bleu Russe;;;
Bobtail Américain;Bobtail Américain;;;
Bobtail Russe;Bobtail Russe;;;
Bombay;Bombay;;;
Brazilian Shorthair;Brazilian Shorthair;;;
British Longhair;British Longhair;;;
British Shorthair;British Shorthair;;;
British Tipped;British Tipped;;;
Burmese;Burmese;;;
Burmilla;Burmilla;;;
California Spangled;California Spangled;;;
Ceylan;Ceylan;;;
Chantilly/Tiffany;Chantilly/Tiffany;;;
Chartreux;Chartreux;;;
Chat Caniche;Chat Caniche;;;
Chat Commun;Chat Commun;;;
Chat des Forêts Norvégiennes;Chat des Forêts Norvégiennes;;;
Colorpoint shorthair;Colorpoint shorthair;;;
Croisé;Croisé;;;
Cornish Rex;Cornish Rex;;;
Cymric;Cymric;;;
Donskoy;Donskoy;;;
Européen à poil court;Européen à poil court;;;
Européen à poil long;Européen à poil long;;;
Européen Bicolore;Européen Bicolore;;;
Européen Bleu-Crème;Européen Bleu-Crème;;;
Européen Ecaille de Tortue;Européen Ecaille de Tortue;;;
Européen Noir;Européen Noir;;;
Européen Spotted;Européen Spotted;;;
Européen Tabbies;Européen Tabbies;;;
Exotic Shorthair;Exotic Shorthair;;;
Foldex;Foldex;;;
German Rex;German Rex;;;
Gouttière;Gouttière;;;
Havana;Havana;;;
Highland Fold;Highland Fold;;;
Highlander;Highlander;;;
Himalayen;Himalayen;;;
Japanese Bobtail;Japanese Bobtail;;;
Javanais;Javanais;;;
Khao Manee;Khao Manee;;;
Korat;Korat;;;
Laperm;Laperm;;;
Maine-Coon;Maine-Coon;;;
Mandarin;Mandarin;;;
Manul;Manul;;;
Manx;Manx;;;
Mau Arabe;Mau Arabe;;;
Mau Egyptien;Mau Egyptien;;;
Minskin;Minskin;;;
Munchkin;Munchkin;;;
Nebelung;Nebelung;;;
Norvégien;Norvégien;;;
Ocicat;Ocicat;;;
Ojos Azules;Ojos Azules;;;
Oriental;Oriental;;;
Persan;Persan;;;
Persan Cameo;Persan Cameo;;;
Persan Chinchilla;Persan Chinchilla;;;
Persan Colourpoint;Persan Colourpoint;;;
Persane;Persane;;;
Persan Ecaille de Tortue;Persan Ecaille de Tortue;;;
Persan Smoke;Persan Smoke;;;
Persan Tabbies;Persan Tabbies;;;
Peterbald;Peterbald;;;
Pixe-Bob;Pixe-Bob;;;
Ragamuffin;Ragamuffin;;;
Ragdoll;Ragdoll;;;
Rex Cornish;Rex Cornish;;;
Rex Devon;Rex Devon;;;
Sacré de Birmanie;Sacré de Birmanie;;;
Savannah;Savannah;;;
Scottish Fold;Scottish Fold;;;
Scottish Straight;Scottish Straight;;;
Selkirk Rex;Selkirk Rex;;;
Serengeti;Serengeti;;;
Siamois;Siamois;;;
Sibérien;Sibérien;;;
Singapura;Singapura;;;
Skogkatt;Skogkatt;;;
Skookum;Skookum;;;
Snowshoe;Snowshoe;;;
Sokoke;Sokoke;;;
Somali;Somali;;;
Sphinx;Sphinx;;;
Thaï;Thaï;;;
Tonkinois;Tonkinois;;;
Toyger;Toyger;;;
Turkish Van;Turkish Van;;;
Ural Rex;Ural Rex;;;
York Chocolate;York Chocolate;;;
