ID;Nom;;;
Affenpinscher;Affenpinscher;;;
Afghan Hound;Afghan Hound;;;
Aidi;Aidi;;;
Airedale Terrier;Airedale Terrier;;;
Akita Inu;Akita Inu;;;
Akita Américain;Akita Américain;;;
Alaskan Malamute;Alaskan Malamute;;;
American Bully;American Bully;;;
American Hairless Terrier;American Hairless Terrier;;;
American Staff;American Staff;;;
Anglo-Français de Petite Vénerie;Anglo-Français de Petite Vénerie;;;
Ariégeois;Ariégeois;;;
Balkanski Gonic;Balkanski Gonic;;;
Bangkaew de Thaïlande;Bangkaew de Thaïlande;;;
Barbet;Barbet;;;
Barbu Tchèque;Barbu Tchèque;;;
Barzoi;Barzoi;;;
Basenji;Basenji;;;
Basset Artésien Normand;Basset Artésien Normand;;;
Basset Bleu Gascogne;Basset Bleu Gascogne;;;
Basset des Alpes;Basset des Alpes;;;
Basset de Westphalie;Basset de Westphalie;;;
Basset Fauve de Bretagne;Basset Fauve de Bretagne;;;
Basset Hound;Basset Hound;;;
Basset Suédois;Basset Suédois;;;
Bayrischer Gebirgs;Bayrischer Gebirgs;;;
Beagle;Beagle;;;
Beagle Harrier;Beagle Harrier;;;
Bearded Collie;Bearded Collie;;;
Bedlington Terrier;Bedlington Terrier;;;
Berger Allemand;Berger Allemand;;;
Berger d'Anatolie;Berger d'Anatolie;;;
Berger d'Asie Centrale;Berger d'Asie Centrale;;;
Berger Anglais Ancestral;Berger Anglais Ancestral;;;
Berger Australien;Berger Australien;;;
Berger Belge;Berger Belge;;;
Berger Blanc;Berger Blanc;;;
Berger Catalan;Berger Catalan;;;
Berger Croate;Berger Croate;;;
Berger de l'Atlas;Berger de l'Atlas;;;
Berger de Beauce;Berger de Beauce;;;
Berger de Bergame;Berger de Bergame;;;
Berger de Bohème;Berger de Bohème;;;
Berger de Bosnie et Croatie;Berger de Bosnie et Croatie;;;
Berger de Brie;Berger de Brie;;;
Berger de Crau;Berger de Crau;;;
Berger de Majorque;Berger de Majorque;;;
Berger de Maremme;Berger de Maremme;;;
Berger de Picardie;Berger de Picardie;;;
Berger de Russie;Berger de Russie;;;
Berger de Savoie;Berger de Savoie;;;
Berger des Pyrénées;Berger des Pyrénées;;;
Berger des Shetland;Berger des Shetland;;;
Berger des Tatras;Berger des Tatras;;;
Berger du Caucase;Berger du Caucase;;;
Berger du Karst;Berger Du Karst;;;
Berger Finnois Lapon;Berger Finnois Lapon;;;
Berger Hollandais;Berger Hollandais;;;
Berger d'Islande;Berger d'Islande;;;
Berger Picard;Berger Picard;;;
Berger Polonais de Plaine;Berger Polonais de Plaine;;;
Berger Polonais de Podhale;Berger Polonais de Podhale;;;
Berger Portugais;Berger Portugais;;;
Berger Roumain de Mioritza;Berger Roumain de Mioritza;;;
Berger Roumain Des Carpathes;Berger Roumain Des Carpathes;;;
Berger Yougoslave;Berger Yougoslave;;;
Berner Laufhund;Berner Laufhund;;;
Berner Niederlaufhund;Berner Niederlaufhund;;;
Berner Sennenhund;Berner Sennenhund;;;
Bichon à poil frisé;Bichon à poil frisé;;;
Bichon Bolognais;Bichon Bolognais;;;
Bichon Havanais;Bichon Havanais;;;
Bichon Maltais;Bichon Maltais;;;
Billy;Billy;;;
Black and Tan Coonhound;Black and Tan Coonhound;;;
Bleu de Gascogne;Bleu de Gascogne;;;
Bloodhound;Bloodhound;;;
Bluelasy;Bluelasy;;;
Bobtail;Bobtail;;;
Bodeguero;Bodeguero;;;
Boerboel;Boerboel;;;
Boerenfox;Boerenfox;;;
Bolognese;Bolognese;;;
Border Collie;Border Collie;;;
Border Terrier;Border Terrier;;;
Bosanski Ostrodlaki;Bosanski Ostrodlaki;;;
Boston Terrier;Boston Terrier;;;
Bouledogue Américain;Bouledogue Américain;;;
Bouledogue Anglais;Bouledogue Anglais;;;
Bouledogue Français;Bouledogue Français;;;
Bouvier d'Appenzell;Bouvier d'Appenzell;;;
Bouvier d'Australie;Bouvier d'Australie;;;
Bouvier Bernois;Bouvier Bernois;;;
Bouvier de l'Entleb;Bouvier de l'Entleb;;;
Bouvier des Ardennes;Bouvier des Ardennes;;;
Bouvier des Flandres;Bouvier des Flandres;;;
Boxer;Boxer;;;
Brabançon;Brabançon;;;
Brachet Allemand;Brachet Allemand;;;
Brachet de Styrie;Brachet de Styrie;;;
Brachet Polonais;Brachet Polonais;;;
Brachet Tyrolien;Brachet Tyrolien;;;
Brandl Bracke Vieraug;Brandl Bracke Vieraug;;;
Braque Allemand;Braque Allemand à poil court;;;
Braque Allemand à poil dur;Braque Allemand à poil dur;;;
Braque d'Auvergne;Braque d'Auvergne;;;
Braque de l'Ariège;Braque de l'Ariège;;;
Braque de Burgos;Braque de Burgos;;;
Braque de Weimar;Braque de Weimar;;;
Braque du Bourbon;Braque du Bourbon;;;
Braque Dupuy;Braque Dupuy;;;
Braque Français Type Gascogne;Braque Français Type Gascogne;;;
Braque Français Type Pyrénées;Braque Français Type Pyrénées;;;
Braque Hongrois;Braque Hongrois à poil court;;;
Braque Hongrois à poil dur;Braque Hongrois à poil dur;;;
Braque Italien;Braque Italien;;;
Braque Saint-Germain;Braque Saint-Germain;;;
Briquet de Provence;Briquet De Provence;;;
Braque Slovaque;Braque Slovaque;;;
Broholmer;Broholmer;;;
Bruno du Jura;Bruno du Jura;;;
Buhund Norvégien;Buhund Norvégien;;;
Bulldog;Bulldog;;;
Bullmastiff;Bullmastiff;;;
Bull Terrier;Bull Terrier;;;
Ca de Bestiar;Ca de Bestiar;;;
Cairn Terrier;Cairn Terrier;;;
Canaan Dog;Canaan Dog;;;
Cane Corso;Cane Corso;;;
Caniche (Grand);Caniche (Grand);;;
Caniche (Moyen);Caniche (Moyen);;;
Caniche (Nain);Caniche (Nain);;;
Caniche (Toy);Caniche (Toy);;;
Carlin;Carlin;;;
Cavalier King Charles;Cavalier King Charles;;;
Ceskoslovensky Vecar;Ceskoslovensky Vecar;;;
Cesky Fousek;Cesky Fousek;;;
Cesky Terrier;Cesky Terrier;;;
Charplanina;Charplanina;;;
Cheasapeake Retriever;Cheasapeake Retriever;;;
Chien Chinois à Crête;Chien Chinois à Crête;;;
Chien Courant (Autres);Chien Courant (Autres);;;
Chien Courant Bernois;Chien Courant Bernois;;;
Chien Courant de Bosnie;Chien Courant de Bosnie;;;
Chien Courant de Halden;Chien Courant de Halden;;;
Chien Courant de Hamilton;Chien Courant de Hamilton;;;
Chien Courant de Hygen;Chien Courant de Hygen;;;
Chien Courant de la vallée de la Save;Chien Courant de la vallée de la Save;;;
Chien Courant de montagne du Montenegro;Chien Courant de montagne du Montenegro;;;
Chien Courant de Schiller;Chien Courant de Schiller;;;
Chien Courant de Transylvanie;Chien Courant de Transylvanie;;;
Chien Courant d'Istrie;Chien Courant d'Istrie;;;
Chien Courant du Smaland;Chien Courant du Smaland;;;
Chien Courant Espagnol;Chien Courant Espagnol;;;
Chien Courant Finnois;Chien Courant Finnois;;;
Chien Courant Grec;Chien Courant Grec;;;
Chien Courant Italien;Chien Courant Italien;;;
Chien Courant Lucernois;Chien Courant Lucernois;;;
Chien Courant Norvegien;Chien Courant Norvegien;;;
Chien Courant Polonais;Chien Courant Polonais;;;
Chien Courant Serbe;Chien Courant Serbe;;;
Chien Courant Slovaque;Chien Courant Slovaque;;;
Chien Courant Suisse;Chien Courant Suisse;;;
Chien Courant Tricolore Serbe;Chien Courant Tricolore Serbe;;;
Chien d'Arrêt Danois Ancestral;Chien d'Arrêt Danois Ancestral;;;
Chien d'Artois;Chien d'Artois;;;
Chien de Canaan;Chien de Canaan;;;
Chien de Castro Laboreiro;Chien de Castro Laboreiro;;;
Chien de Cour Italien;Chien de Cour Italien;;;
Chien de Ferme Dano-Suédois;Chien de Ferme Dano-Suédois;;;
Chien de Garènne des Canaries;Chien de Garènne des Canaries;;;
Chien de Garènne Portugais;Chien de Garènne Portugais;;;
Chien de La Serra Da Estrela;Chien de La Serra Da Estrela;;;
Chien de Leonberg;Chien de Leonberg;;;
Chien de Loutre;Chien de Loutre;;;
Chien de montagne de l'Atlas;Chien de montagne de l'Atlas;;;
Chien de Rouge de Bavière;Chien de Rouge de Bavière;;;
Chien de Rouge du Hanovre;Chien de Rouge du Hanovre;;;
Chien de Taïwan;Chien de Taïwan;;;
Chien des Goths;Chien des Goths;;;
Chien du Groenland;Chien du Groenland;;;
Chien du Pharaon;Chien du Pharaon;;;
Chien d'Eau Américain;Chien d'Eau Américain;;;
Chien d'Eau Espagnol;Chien d'Eau Espagnol;;;
Chien d'Eau Frison;Chien d'Eau Frison;;;
Chien d'Eau Irlandais;Chien d'Eau Irlandais;;;
Chien d'Eau Portugais;Chien d'Eau Portugais;;;
Chien d'Eau Romagnol;Chien d'Eau Romagnol;;;
Chien d'Elan Norvégien;Chien d'Elan Norvégien;;;
Chien d'Elan Suédois;Chien d'Elan Suédois;;;
Chien Finnois Lapon;Chien Finnois Lapon;;;
Chien Loup Saarloos;Chien Loup Saarloos;;;
Chien Loup Tchèque;Chien Loup Tchèque;;;
Chien d'Ours de Carélie;Chien d'Ours de Carélie;;;
Chien d'Oysel;Chien d'Oysel;;;
Chien Léopard Catahoula;Chien Léopard Catahoula;;;
Chien Nu du Mexique;Chien Nu du Mexique;;;
Chien Nu du Pérou;Chien Nu du Pérou;;;
Chien Suédois-Lapon;Chien Suédois-Lapon;;;
Chien Thailandais;Chien Thailandais;;;
Chihuahua;Chihuahua;;;
Chin;Chin;;;
Chinese Crested Dog;Chinese Crested Dog;;;
Chow-Chow;Chow-Chow;;;
Cimarron Uruguayen;Cimarron Uruguayen;;;
Cirneco de l'Etna;Cirneco de l'Etna;;;
Clumber Spaniel;Clumber Spaniel;;;
Cobon Kopegi;Cobon Kopegi;;;
Cocker Américain;Cocker Américain;;;
Cocker Anglais;Cocker Anglais;;;
Cocker Noir;Cocker Noir;;;
Cocker Spaniel;Cocker Spaniel;;;
Colley à poil court;Colley à poil court;;;
Colley à poil long;Colley à poil long;;;
Colley Barbu;Colley Barbu;;;
Collie Rough;Collie Rough;;;
Collie Smooth;Collie Smooth;;;
Coonhound Noir Feu;Coonhound Noir Feu;;;
Coton de Tulear;Coton de Tulear;;;
Croisé;Croisé;;;
Curly-Coated Retriever;Curly-Coated Retriever;;;
Cursinu;Cursinu;;;
Dachsbracke;Dachsbracke;;;
Dalmatien;Dalmatien;;;
Dandie Dinmont Terrier;Dandie Dinmont Terrier;;;
Deerhound;Deerhound;;;
Deutscher Spitz;Deutscher Spitz;;;
Dobermann;Dobermann;;;
Dogue Allemand;Dogue Allemand;;;
Dogue Argentin;Dogue Argentin;;;
Dogue de Bordeaux;Dogue de Bordeaux;;;
Dogue de Majorque;Dogue de Majorque;;;
Dogue des Canaries;Dogue des Canaries;;;
Dogue du Tibet;Dogue du Tibet;;;
Do-Khyi;Do-Khyi;;;
Drahthaar;Drahthaar;;;
Drentse Patrijhond;Drentse Patrijhond;;;
Drever;Drever;;;
Dunker;Dunker;;;
English Bull Terrier;English Bull Terrier;;;
English Pointer;English Pointer;;;
Epagneul Allemand;Epagneul Allemand;;;
Epagneul à Perdrix;Epagneul à Perdrix;;;
Epagneul Bleu Picard;Epagneul Bleu Picard;;;
Epagneul Breton;Epagneul Breton;;;
Epagneul Cavalier King Charles;Epagneul Cavalier King Charles;;;
Epagneul de Saint Usuge;Epagneul de Saint Usuge;;;
Epagneul Français;Epagneul Français;;;
Epagneul Japonais;Epagneul Japonais;;;
Epagneul Nain Continental;Epagneul Nain Continental;;;
Epagneul Pékinois;Epagneul Pékinois;;;
Epagneul Picard;Epagneul Picard;;;
Epagneul Pont Audemer;Epagneul Pont Audemer;;;
Epagneul Tibétain;Epagneul Tibétain;;;
Erdelyi Kopo;Erdelyi Kopo;;;
Esquimau du Groenland;Esquimau du Groenland;;;
Eurasier;Eurasier;;;
Field Spaniel;Field Spaniel;;;
Fila Brasileiro;Fila Brasileiro;;;
Fila de Saint Miguel;Fila de Saint Miguel;;;
Finnish Spitz;Finnish Spitz;;;
Finsk Stovare;Finsk Stovare;;;
Flat Coat Retriever;Flat Coat Retriever;;;
Foxhound Américain;Foxhound Américain;;;
Foxhound Anglais;Foxhound Anglais;;;
Fox Terrier à poil dur;Fox Terrier à poil dur;;;
Fox Terrier à poil lisse;Fox Terrier à poil lisse;;;
Fox Terrier Smooth;Fox Terrier Smooth;;;
Fox Terrier Wire;Fox Terrier Wire;;;
Français Blanc et Noir;Français Blanc et Noir;;;
Français Blanc et Orange;Français Blanc et Orange;;;
Français Tricolore;Français Tricolore;;;
Galgo Espagnol;Galgo Espagnol;;;
Golden Retriever;Golden Retriever;;;
Gordon Setter;Gordon Setter;;;
Gos Atura;Gos Atura;;;
Grand Basset Griffon Vendéen;Grand Basset Griffon Vendéen;;;
Grand Anglo-Français Blanc et Noir;Grand Anglo-Français Blanc et Noir;;;
Grand Anglo-Français Blanc et Orange;Grand Anglo-Français Blanc et Orange;;;
Grand Bleu de Gascogne;Grand Bleu de Gascogne;;;
Grand Bouvier Suisse;Grand Bouvier Suisse;;;
Grand Epagneul de Munster;Grand Epagneul de Munster;;;
Grand Gascon Saintongeois;Grand Gascon Saintongeois;;;
Grand Griffon Vendéen;Grand Griffon Vendéen;;;
Grand Musterlander;Grand Musterlander;;;
Grand Anglo-Français Tricolore;Grand Anglo-Français Tricolore;;;
Greyhound;Greyhound;;;
Griffon à poil dur Korthals;Griffon à poil dur Korthals;;;
Griffon à poil laineux;Griffon à poil laineux;;;
Griffon Belge;Griffon Belge;;;
Griffon Bleu-Gascogne;Griffon Bleu-Gascogne;;;
Griffon Boulet;Griffon Boulet;;;
Griffon Bruxellois;Griffon Bruxellois;;;
Griffon Fauve Breton;Griffon Fauve Breton;;;
Griffon Nivernais;Griffon Nivernais;;;
Groenendael;Groenendael;;;
Groenendaler;Groenendaler;;;
Gronlandshund;Gronlandshund;;;
Haldenstovare;Haldenstovare;;;
Hamilton Stovare;Hamilton Stovare;;;
Harrier;Harrier;;;
Hokkaido-Ken;Hokkaido-Ken;;;
Hollandse Smoushond;Hollandse Smoushond;;;
Hovawart;Hovawart;;;
Hrvatski Ovcar;Hrvatski Ovcar;;;
Husky Sibérien;Husky Sibérien;;;
Hygenhund;Hygenhund;;;
Iceland Sheepdog;Iceland Sheepdog;;;
Irish Red Setter;Irish Red Setter;;;
Irish Softcoated;Irish Softcoated;;;
Irish Terrier;Irish Terrier;;;
Irish Water Spaniel;Irish Water Spaniel;;;
Irish Wolfhound;Irish Wolfhound;;;
Jack Russell Terrier;Jack Russell Terrier;;;
Jagdterrier;Jagdterrier;;;
Jamthund;Jamthund;;;
Jindo Coréen;Jindo Coréen;;;
Jura Laufhund;Jura Laufhund;;;
Jura Niederlaufhund;Jura Niederlaufhund;;;
Kai;Kai;;;
Karjalankarhukoira;Karjalankarhukoira;;;
Kelpie;Kelpie;;;
Kerry Blue Terrier;Kerry Blue Terrier;;;
King Charles Spaniel;King Charles Spaniel;;;
Kishu;Kishu;;;
Komondor;Komondor;;;
Kooikerhondje;Kooikerhondje;;;
Korea Jindo Dog;Korea Jindo Dog;;;
Korthal;Korthal;;;
Kromfohrlander;Kromfohrlander;;;
Krozski Ovcar;Krozski Ovcar;;;
Kuvasz;Kuvasz;;;
Labrador Retriever;Labrador Retriever;;;
Laekenois;Laekenois;;;
Lagotto Romagnolo;Lagotto Romagnolo;;;
Laika de Sibérie;Laika de Sibérie;;;
Laika Russe Européen;Laika Russe Européen;;;
Lakeland Terrier;Lakeland Terrier;;;
Landseer;Landseer;;;
Lapinkoira;Lapinkoira;;;
Lapinporokoira;Lapinporokoira;;;
Lapplandsk Spets;Lapplandsk Spets;;;
Leonberg;Leonberg;;;
Lévrier Afghan;Lévrier Afghan;;;
Lévrier du Désert;Lévrier du Désert;;;
Lévrier Ecossais;Lévrier Ecossais;;;
Lévrier Hongrois;Lévrier Hongrois;;;
Lévrier Irlandais;Lévrier Irlandais;;;
Lévrier Polonais;Lévrier Polonais;;;
Lhassa Apso;Lhassa Apso;;;
Loekense;Loekense;;;
Loulou Pomerani;Loulou Pomerani;;;
Loxchen;Loxchen;;;
Luzerner Laufhund;Luzerner Laufhund;;;
Magyar Agar;Magyar Agar;;;
Malamute de l'Alaska;Malamute de l'Alaska;;;
Malinois;Malinois;;;
Maltese;Maltese;;;
Manchester Terrier;Manchester Terrier;;;
Mastiff;Mastiff;;;
Mastin Espanol;Mastin Espanol;;;
Mastino Napoletano;Mastino Napoletano;;;
Matin des Pyrénées;Matin des Pyrénées;;;
Matin Espagnol;Matin Espagnol;;;
Matin Napolitain;Matin Napolitain;;;
Mechelaar;Mechelaar;;;
Mittelschnauzer;Mittelschnauzer;;;
Montagne des Pyrénées;Montagne des Pyrénées;;;
Mudi;Mudi;;;
Musterlander;Musterlander;;;
Newfoundland;Newfoundland;;;
Nihon Supittsu;Nihon Supittsu;;;
Nihon Teria;Nihon Teria;;;
Nizinny;Nizinny;;;
Norfolk Terrier;Norfolk Terrier;;;
Norbottenspets;Norbottenspets;;;
Norsk Buhund;Norsk Buhund;;;
Norsk Lundehund;Norsk Lundehund;;;
Chien Norvégien de Macareux;Chien Norvégien de Macareux;;;
Norwich Terrier;Norwich Terrier;;;
Ogar Polski;Ogar Polski;;;
Old English Sheepdog;Old English Sheepdog;;;
Otterhound;Otterhound;;;
Owczarek Podhalanski;Owczarek Podhalanski;;;
Papillon;Papillon;;;
Peintinger Bracke;Peintinger Bracke;;;
Pekingese;Pekingese;;;
Pékinois;Pékinois;;;
Perdiguero de Burgos;Perdiguero de Burgos;;;
Petit Bleu de Gascogne;Petit Bleu de Gascogne;;;
Petit Brabançon;Petit Brabançon;;;
Petit Chien Bernois;Petit Chien Bernois;;;
Petit Chien de Schwyz;Petit Chien de Schwyz;;;
Petit Chien du Jura;Petit Chien du Jura;;;
Petit Chien Hollandais;Petit Chien Hollandais;;;
Petit Chien Lion;Petit Chien Lion;;;
Petit Chien Lucernois;Petit Chien Lucernois;;;
Petit Chien Russe;Petit Chien Russe;;;
Petit Chien Suisse;Petit Chien Suisse;;;
Petit Epagneul de Munster;Petit Epagneul de Munster;;;
Petit Gascon Saintongeois;Petit Gascon Saintongeois;;;
Petit Levrier Italien;Petit Levrier Italien;;;
Petit Munsterlander;Petit Munsterlander;;;
Phalène;Phalène;;;
Pharaon Hound;Pharaon Hound;;;
Pinscher Allemand;Pinscher Allemand;;;
Pinscher Autrichien;Pinscher Autrichien;;;
Pinscher Moyen;Pinscher Moyen;;;
Pinscher Nain;Pinscher Nain;;;
Pitbull;Pitbull;;;
Podenco Canario;Podenco Canario;;;
Pointer Anglais;Pointer Anglais;;;
Poitevin;Poitevin;;;
Porcelaine;Porcelaine;;;
Posavski Gonic;Posavski Gonic;;;
Pudelpointer;Pudelpointer;;;
Puli;Puli;;;
Pumi;Pumi;;;
Rafeiro de Alentejo;Rafeiro de Alentejo;;;
Ratier de Prague;Ratier de Prague;;;
Retriever à poil bouclé;Retriever à poil bouclé;;;
Retriever à poil plat;Retriever à poil plat;;;
Retriever de la Nouvelle-Ecosse;Retriever de la Nouvelle-Ecosse;;;
Rhodesian Ridgeback;Rhodesian Ridgeback;;;
Riesenschnauzer;Riesenschnauzer;;;
Rottweiler;Rottweiler;;;
Saarloos Wolfhond;Saarloos Wolfhond;;;
Sabueso Espanol;Sabueso Espanol;;;
Saint-Bernard;Saint-Bernard;;;
Saint-Hubert;Saint-Hubert;;;
Saluki;Saluki;;;
Samoiedskaia Sabaka;Samoiedskaia Sabaka;;;
Samoyede;Samoyede;;;
Sar Planinac;Sar Planinac;;;
Schapendoes Néerlandais;Schapendoes Néerlandais;;;
Schiller Stovare;Schiller Stovare;;;
Schipperke;Schipperke;;;
Schnauzer Géant;Schnauzer Géant;;;
Schnauzer Moyen;Schnauzer Moyen;;;
Schnauzer Nain;Schnauzer Nain;;;
Schwyzer Laufhund;Schwyzer Laufhund;;;
Scottish Deerhound;Scottish Deerhound;;;
Scottish Terrier;Scottish Terrier;;;
Sealyham Terrier;Sealyham Terrier;;;
Segugio Italiano;Segugio Italiano;;;
Setter Anglais;Setter Anglais;;;
Setter Gordon;Setter Gordon;;;
Setter Irlandais;Setter Irlandais;;;
Shar Pei;Shar Pei;;;
Shetland Sheepdog;Shetland Sheepdog;;;
Shiba Inu;Shiba Inu;;;
Shih Tzu;Shih Tzu;;;
Shikoku;Shikoku;;;
Siberian Husky;Siberian Husky;;;
Silky Terrier;Silky Terrier;;;
Skye Terrier;Skye Terrier;;;
Sloughi;Sloughi;;;
Slovensky Cuvac;Slovensky Cuvac;;;
Slovensky Kopov;Slovensky Kopov;;;
Smalandsstovare;Smalandsstovare;;;
Smous des Pays-Bas;Smous des Pays-Bas;;;
Spinone;Spinone;;;
Spinone Italiano;Spinone Italiano;;;
Spitz Allemand;Spitz Allemand (Grand);;;
Spitz Allemand (Loup);Spitz Allemand (Loup);;;
Spitz Allemand (Moyen);Spitz Allemand (Moyen);;;
Spitz Allemand (Nain);Spitz Allemand (Nain);;;
Spitz Allemand (Petit);Spitz Allemand (Petit);;;
Spitz de Norbotten;Spitz de Norbotten;;;
Spitz des Visigoths;Spitz des Visigoths;;;
Spitz Finlandais;Spitz Finlandais;;;
Spitz Italien;Spitz Italien;;;
Spitz Japonais;Spitz Japonais;;;
Stabyhound;Stabyhound;;;
Staffordshire Bull Terrier;Staffordshire Bull Terrier;;;
Staffordshire Terrier Américain;Staffordshire Terrier Américain;;;
St Bernardshund;St Bernardshund;;;
Stichelhaar;Stichelhaar;;;
Suomenajokoira;Suomenajokoira;;;
Suomen Lapinkoira;Suomen Lapinkoira;;;
Suomenpvstvkorva;Suomenpvstvkorva;;;
Sussex Spaniel;Sussex Spaniel;;;
Svensk Lapphund;Svensk Lapphund;;;
Tatras;Tatras;;;
Tchiorny Terrier;Tchiorny Terrier;;;
Tchouvatch Slovaque;Tchouvatch Slovaque;;;
Teckel;Teckel à poil dur;;;
Teckel à poil long;Teckel à poil long;;;
Teckel à poil ras;Teckel à poil ras;;;
